FirmaID,UrunTID,Miktar,AlimSayisi
7721,122050,1500,1
2842,122083,1300,1
666,122113,750,1
7963,122404,1200,1
7963,122408,1050,1
2842,122415,2500,2
10114,122490,1000,1
3331,122524,650,1
5815,122524,4000,6
8194,122524,4548,1
9206,122524,550,1
5815,122526,4600,6
8194,122526,2063,1
8811,122526,1000,1
5815,122527,500,1
9206,122527,550,1
2537,122541,3500,2
885,122571,3180,2
9206,122571,4400,5
872,122572,3750,2
5333,122572,2100,1
6324,122572,13700,4
8759,122582,700,1
7452,122652,1000,2
9163,122652,500,1
974,122747,3150,2
2842,122747,1000,1
794,122806,700,1
6234,122806,500,1
6432,122806,7450,1
7452,122806,500,1
5751,122808,1000,1
897,122848,11270,1
8179,123018,1000,1
8179,123027,1000,1
8179,123028,1000,1
666,123098,1300,1
9319,123117,1000,1
9206,123119,800,1
974,123212,9105,5
2007,123223,6960,1
5871,123223,4600,1
3155,123306,2186,2
3155,123315,1164,1
6684,123363,11643,5
2842,123379,500,1
6691,123379,600,1
715,123629,500,1
3930,123719,14190,4
5556,123742,1600,2
713,123743,2750,1
1677,123746,2100,1
3155,124010,2280,1
6432,124010,17750,2
6885,124010,2980,1
964,124212,550,1
7711,124270,1750,2
3797,124304,500,1
3191,124306,4900,7
3797,124306,500,1
964,124374,600,1
2842,124380,800,1
4433,124386,800,1
8179,124395,1000,1
5815,124396,1500,2
2842,124407,600,1
3797,124427,500,1
3797,124429,500,1
5815,124458,1000,1
6577,124504,1000,2
6372,124556,4500,4
5684,124565,1000,1
7711,124577,800,1
731,124740,825,1
974,124747,8640,1
3008,124832,1080,1
3797,124832,700,1
3797,124835,500,1
713,124842,2230,1
885,124930,7195,9
794,124933,1000,1
9366,124939,1000,1
7989,125018,2300,1
713,125051,8825,5
1677,125063,2100,1
8847,125063,870,1
8796,125076,750,1
7094,125129,2000,1
7094,125131,1600,1
9319,125131,1000,1
7094,125132,800,1
9319,125132,1000,1
9319,125135,1000,1
5096,125137,500,1
7989,125137,5740,2
7094,125139,1600,1
5815,125144,500,1
5815,125145,500,1
9186,125200,5087,1
9186,125203,5950,1
2905,125250,2500,1
4775,125280,7600,3
715,125289,2200,1
8816,125306,1950,1
9142,125340,500,1
9142,125349,500,1
5815,125474,1700,3
3082,125506,500,1
2905,125511,36000,3
6234,125533,1400,2
3930,125570,8400,1
7311,125695,1730,1
7311,125697,740,1
5871,125817,3310,1
3191,125830,1000,2
6798,125857,2050,1
8759,125885,3800,1
5012,125928,2170,1
713,126031,1700,2
8816,126031,2720,1
2027,126034,2366,3
10114,126034,1000,1
974,126035,5100,1
4775,126068,14650,8
3930,126079,12500,1
7989,126079,1610,1
5815,126087,500,1
2027,126089,500,1
8179,126122,1100,1
7228,126124,6450,3
8179,126124,1100,1
9206,126124,500,1
7228,126126,3750,1
8179,126126,1100,1
5311,126342,3150,2
4775,126407,5950,2
3008,126511,27350,3
3008,126514,13200,3
5096,126873,700,1
5096,126874,700,1
5096,126880,500,1
5096,126881,500,1
5096,126882,500,1
5871,126918,2620,2
5871,126937,4900,2
5096,126946,750,1
5096,126947,750,1
3008,126949,1330,1
5096,126962,500,1
6798,127018,10050,2
8796,127018,750,1
67,127229,2200,1
713,127236,4000,3
3008,127236,3570,1
9142,127287,500,1
9142,127291,500,1
6372,127332,800,1
6209,127383,1000,1
713,127400,1870,1
2537,127422,4320,2
6324,127423,1080,1
897,127424,2776,1
2905,127428,3500,1
5871,127428,3200,2
5096,127452,500,1
5096,127453,500,1
3191,127563,500,1
8194,127564,1400,1
3008,127592,2650,1
6684,127697,1239,2
10114,127890,1000,1
3008,127948,10500,1
5815,127983,500,1
5815,127984,500,1
3331,127985,600,1
5815,127985,1200,2
794,127986,700,1
9151,127986,1000,1
9975,127989,1000,1
8816,128047,2050,1
5815,128062,850,1
974,128072,1309,1
8811,128072,500,1
8179,128137,1000,1
9319,128181,500,1
9319,128182,500,1
9319,128183,500,1
9319,128184,500,1
8397,128186,850,1
974,128195,5600,2
7711,128195,500,1
6885,128205,29268,5
4775,128251,4350,2
4775,128252,2000,1
2007,128280,19760,7
2905,128280,60000,2
713,128306,1600,1
